MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
1025_20170731,1617405.457520485,533334.4668348783,470092.5617361617,2975.1015050633514,3149.2753524623054
1026_20130521,1580526.211600244,614862.1470106058,526423.1715389224,3661.912172081368,3368.545032941956
1026_20170904,1565793.786350727,575383.5129659955,515106.24043612543,3550.8255268273865,3281.4084665356995
1027_20120322,1593558.0,625711.4833598777,517063.2571892583,3783.282440927785,3464.718573155166
1027_20170710,1592905.9050554037,602819.6202412446,493933.9107266845,3630.4213807971096,3286.5906713892723
1032_20080512,1482358.8589036465,611487.8503099249,480983.0251623291,3134.81999094956,2830.367384738432
1032_20091218,1480089.6588134766,590977.8110730593,485920.91181506845,3093.250570776256,2786.012414383561
104_20081114,1256916.0499453545,589850.5962212273,515908.8530975817,3540.0838242173704,3205.598464813878
104_20100507,1252413.6497664452,593227.5280306761,517325.0849399911,3600.7657534220325,3203.420978501033
1046_20080523,1302442.851754427,594213.9862111411,485742.2130169555,3495.3918897628364,3126.485094009503
