Index,Code,Name
702,MUSE_702,ICV
701,MUSE_701,TotalBrain
600,MUSE_600,CortCSF
601,MUSE_601,GM
604,MUSE_604,WM
606,MUSE_606,GM_L
607,MUSE_607,WM_L
613,MUSE_613,GM_R
614,MUSE_614,WM_R
